"","toxin.diffusion.scale","asymptote","inflection.point","scale","residual.error"
"1",1,0.309537811951465,3.29525984868482,-1.24677963085188,0.00931504400812061
"2",2,0.359340367565478,2.83083804732812,-0.958413094859003,0.0136445063862845
"3",4,0.43777860469746,2.9111548903095,-0.652442059108712,0.0171360200305017
"4",8,0.531894415826381,3.062685207475,-0.471017569640353,0.0161901839114455
"5",16,0.651704223910024,3.30081454229153,-0.356309201761083,0.0102401772205467
"6",32,0.768912032428872,3.65082598091134,-0.254727355957473,0.0104951756712082
